,Primary voltage rating (kV),Secondary voltage rating (kV),kVA rating (kVA),%R,%X,Year,Month,Day,Hour,Current Value,Prev Node,Prev Time,Anomaly
165,13.8,0.208,75,1.0,2.1,2017,1,7,22,5.28,5.406,5.64,0
166,13.8,0.208,75,1.0,2.1,2017,1,7,23,5.6,4.793,5.28,0
167,13.8,0.208,75,1.0,2.1,2017,1,8,0,4.92,5.089,5.6,0
168,13.8,0.208,75,1.0,2.1,2017,1,8,1,5.36,5.14,4.92,0
169,13.8,0.208,75,1.0,2.1,2017,1,8,2,5.84,4.842,5.36,0
170,13.8,0.208,75,1.0,2.1,2017,1,8,3,5.32,4.845,5.84,0
171,13.8,0.208,75,1.0,2.1,2017,1,8,4,5.52,5.268,5.32,0
172,13.8,0.208,75,1.0,2.1,2017,1,8,5,5.52,5.623,5.52,0
173,13.8,0.208,75,1.0,2.1,2017,1,8,6,12.48,5.298,5.52,2
174,13.8,0.208,75,1.0,2.1,2017,1,8,7,5.6,4.75,12.48,0
175,13.8,0.208,75,1.0,2.1,2017,1,8,8,5.72,4.959,5.6,0
176,13.8,0.208,75,1.0,2.1,2017,1,8,9,5.76,5.255,5.72,0
177,13.8,0.208,75,1.0,2.1,2017,1,8,10,5.16,4.832,5.76,0
178,13.8,0.208,75,1.0,2.1,2017,1,8,11,5.2,6.216,5.16,0
179,13.8,0.208,75,1.0,2.1,2017,1,8,12,7.12,5.868,5.2,0
180,13.8,0.208,75,1.0,2.1,2017,1,8,13,15.44,5.62,7.12,0
181,13.8,0.208,75,1.0,2.1,2017,1,8,14,14.92,4.884,15.44,0
182,13.8,0.208,75,1.0,2.1,2017,1,8,15,14.88,5.456,14.92,0
183,13.8,0.208,75,1.0,2.1,2017,1,8,16,0.0,4.183,14.88,1
184,13.8,0.208,75,1.0,2.1,2017,1,8,17,9.8,6.529,0.0,0
185,13.8,0.208,75,1.0,2.1,2017,1,8,18,5.04,5.715,9.8,0
186,13.8,0.208,75,1.0,2.1,2017,1,8,19,0.0,6.3,5.04,1
187,13.8,0.208,75,1.0,2.1,2017,1,8,20,6.76,5.824,0.0,0
188,13.8,0.208,75,1.0,2.1,2017,1,8,21,6.76,5.133,6.76,0
189,13.8,0.208,75,1.0,2.1,2017,1,8,22,12.16,5.102,6.76,2
190,13.8,0.208,75,1.0,2.1,2017,1,8,23,6.32,5.566,12.16,0
191,13.8,0.208,75,1.0,2.1,2017,1,9,0,6.64,4.586,6.32,0
192,13.8,0.208,75,1.0,2.1,2017,1,9,1,6.0,4.862,6.64,0
193,13.8,0.208,75,1.0,2.1,2017,1,9,2,6.08,4.807,6.0,0
194,13.8,0.208,75,1.0,2.1,2017,1,9,3,6.24,4.63,6.08,0
195,13.8,0.208,75,1.0,2.1,2017,1,9,4,0.0,5.261,6.24,1
196,13.8,0.208,75,1.0,2.1,2017,1,9,5,6.32,4.625,0.0,0
197,13.8,0.208,75,1.0,2.1,2017,1,9,6,6.4,6.182,6.32,0
198,13.8,0.208,75,1.0,2.1,2017,1,9,7,5.76,7.765,6.4,0
199,13.8,0.208,75,1.0,2.1,2017,1,9,8,15.64,28.821,5.76,0
200,13.8,0.208,75,1.0,2.1,2017,1,9,9,0.0,25.651,15.64,1
201,13.8,0.208,75,1.0,2.1,2017,1,9,10,18.8,27.1,0.0,0
